Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Congo,113,184,540,"7,953","18,295",27,"36,09,851",168,147,189
Cook Islands,13,18,52,"19,040","64,872",26,"13,984",7,11,197
Costa Rica,"5,549","32,254","51,957","7,128","14,212",45,"43,27,228",183,177,81
Cote d'Ivoire,927,"1,717","4,299","9,246","14,897",34,"1,85,84,701",129,172,137
Croatia,"16,375","49,636","99,034","13,723","52,528",36,"4,55,149",33,18,129
Cuba,417,581,923,"10,436","24,057",125,"1,12,59,905",98,102,14
Cyprus,"1,638","3,363","5,799","10,553","33,244",38,"8,36,321",96,63,116
Czech Republic,"13,821","21,960","37,266","15,000","41,486",27,"1,01,91,762",23,38,189
Democratic Republic of the Congo,343,576,"2,040","8,226","13,557",49,"5,87,40,547",162,185,60
Denmark,"16,504","28,592","55,443","17,015","47,213",26,"54,16,945",16,24,197
Djibouti,49,93,205,"8,608","16,127",44,"8,04,206",152,164,89
Dominica,33,45,72,"5,739","22,734",81,"67,827",200,112,24
Dominican Republic,"4,276","19,718","38,644","7,146","21,244",37,"94,69,601",182,126,121
Ecuador,"4,329","13,137","22,336","9,518","18,068",40,"1,30,60,993",122,150,108
Egypt,"13,851","57,039","92,626","7,823","16,171",41,"7,28,49,793",174,163,101
El Salvador,"2,678","14,983","34,019","3,795","8,087",42,"66,68,356",217,212,97
Equatorial Guinea,22,27,50,"7,919","11,053",43,"4,84,098",170,201,92
Estonia,"6,748","13,562","23,768","11,986","42,162",26,"13,44,312",64,34,197
Ethiopia,491,"1,410","3,548","14,317","25,972",28,"7,89,85,857",26,93,181
Faroe Islands,207,313,682,"24,988","67,524",30,"48,205",2,9,169
Fiji,486,"1,071","2,358","13,284","28,426",35,"8,28,046",41,84,133
Finland,"60,902","1,70,261","3,64,471","12,255","39,982",28,"52,46,004",60,44,181
France,"92,577","1,72,933","3,20,672","9,648","42,208",39,"6,09,90,544",117,33,112
French Guiana,117,177,286,"8,399","33,419",150,"1,92,099",157,61,7
French Polynesia,208,517,970,"11,222","21,247",22,"2,55,632",80,125,219
Gabon,249,419,"1,385","6,620","16,988",72,"12,90,693",188,159,30
Gambia,93,163,359,"7,280","11,392",33,"16,17,029",180,198,148
Georgia,"2,085","4,403","7,545","11,069","25,143",34,"44,73,409",84,98,137
Germany,"1,06,375","1,86,482","3,17,622","10,763","33,375",38,"8,26,52,369",92,62,116
Ghana,"1,276","1,912","4,427","8,262","15,713",55,"22,53,501",161,168,46
Gibraltar,22,64,83,"9,168","25,988",89,291,130,92,22
Greece,"14,290","49,259","83,795","10,850","35,160",31,"1,10,99,737",90,54,162
Greenland,84,126,195,"28,612","70,330",24,"57,475",1,8,212
Grenada,65,94,140,"6,424","25,222",104,"1,05,237",193,96,17
Guadeloupe,253,361,609,"10,770","45,920",126,"4,38,403",91,27,13
Guam,294,836,"2,131","8,656","23,483",46,"16,857",149,106,74
Guatemala,"5,276","18,424","33,968","12,327","15,763",34,"1,27,09,564",59,167,137
Guernsey,152,330,669,"11,881","45,219",23,0,68,28,215
Guinea,74,94,462,"5,733","17,527",97,"90,02,656",201,155,18
Guinea-Bissau,46,90,215,"9,093","20,028",48,"15,96,929",133,136,62
Guyana,215,376,665,"4,211","11,075",33,"7,39,472",213,200,148
Haiti,414,759,"1,856","6,612","11,712",36,"92,96,291",189,197,129
Holy See (Vatican City),6,157,276,"13,935","32,009",44,783,29,68,89
Honduras,"2,719","8,273","13,960","9,972","21,122",46,"6,83,411",107,127,74
Hong Kong,"1,352","24,427","55,668","10,138","37,322",26,"70,57,418",103,53,197
Hungary,"19,533","47,237","81,925","14,107","38,553",26,"1,00,86,387",28,49,197
Iceland,810,"1,255","2,029","17,901","72,722",31,"2,95,732",10,7,162
India,"4,30,479","20,19,704","45,76,526","5,673","13,427",58,"1,13,44,03,141",202,187,42
Indonesia,"1,23,550","6,22,279","14,49,796","9,530","13,881",50,"22,60,63,044",120,180,56
Iran (Islamic Republic of),"18,038","46,786","1,01,958","13,496","27,142",37,"6,94,20,607",36,88,121
Iraq,"3,450","5,474","10,443","4,219","7,254",76,"2,79,95,984",212,216,28
Ireland,"19,805","40,991","86,376","7,588","22,066",35,"41,43,294",176,121,133
Isle of Man,199,401,779,"12,716","26,088",46,"78,357",53,91,74
Israel,"7,939","44,548","88,565","11,990","23,384",37,"66,92,037",63,108,121
Italy,"1,59,978","5,94,351","13,03,579","10,900","31,693",45,"58,64,636",89,69,81
Jamaica,"1,259","2,602","5,151","9,719","28,101",41,"26,82,469",116,86,101
Japan,"45,054","94,944","2,09,770","8,942","29,331",52,"12,78,96,740",139,82,52
Jersey,121,236,396,"10,643","42,866",25,0,95,32,207
Jordan,"5,405","28,495","49,870","13,122","16,232",26,"55,44,066",45,162,197
